latency,jitter,packet_loss,throughput,inter_arrival,bandwidth_util,threat_level
39.22,5.51,4.82,643.32,132.21,42.02,MEDIUM
6.81,2.29,1.0,999.22,129.3,10.33,LOW
188.62,35.89,5.25,230.38,3.18,74.16,HIGH
159.31,25.73,14.04,199.14,7.21,80.19,HIGH
12.85,4.24,0.72,860.06,223.71,15.21,LOW
92.11,16.18,13.97,296.15,1.44,91.48,HIGH
5.49,4.65,0.88,966.33,223.01,6.45,LOW
134.14,27.24,5.4,68.64,5.52,76.84,HIGH
22.64,9.13,3.04,499.45,589.49,44.7,MEDIUM
10.7,1.45,0.08,846.56,140.4,11.95,LOW
23.21,1.57,0.61,902.28,254.08,19.41,LOW
39.81,8.44,2.51,606.56,647.88,51.23,MEDIUM
195.67,79.57,14.5,173.92,2813.53,1.88,HIGH
260.64,22.09,9.14,155.7,1732.66,1.91,HIGH
68.22,11.06,4.37,567.71,102.26,43.52,MEDIUM
103.14,18.94,7.44,210.62,3.32,75.4,HIGH
193.87,66.5,23.65,174.56,2471.67,0.31,HIGH
134.74,46.8,19.96,15.62,2128.34,0.31,HIGH
66.0,9.89,4.27,707.18,114.59,44.72,MEDIUM
16.68,0.64,0.62,805.39,257.61,19.11,LOW
28.31,10.53,2.98,454.97,369.53,27.25,MEDIUM
21.25,3.91,0.65,950.85,479.84,9.98,LOW
56.14,15.76,1.93,554.29,531.83,46.97,MEDIUM
10.36,0.66,0.94,914.21,289.07,24.62,LOW
192.05,16.11,11.13,319.14,7.89,98.37,HIGH
239.12,52.36,19.11,69.55,1356.95,2.69,HIGH
104.87,39.67,9.76,172.08,9.4,93.07,HIGH
67.31,7.15,3.26,602.27,87.01,51.65,MEDIUM
12.71,4.49,0.8,972.14,459.57,10.25,LOW
36.11,13.48,3.36,698.83,114.17,47.91,MEDIUM
126.1,36.54,8.72,352.86,2.44,79.5,HIGH
63.1,9.86,3.33,581.95,125.49,33.41,MEDIUM
224.1,22.72,13.86,12.75,2988.25,4.67,HIGH
17.14,1.07,0.4,811.73,251.59,29.63,LOW
62.84,7.24,2.32,753.61,86.76,52.88,MEDIUM
125.68,76.89,9.87,3.79,1627.38,0.76,HIGH
11.25,4.62,0.44,972.27,320.13,6.26,LOW
40.8,13.7,2.99,544.27,140.05,30.09,MEDIUM
15.5,4.52,0.58,939.1,442.69,24.14,LOW
210.99,54.36,10.55,65.62,2040.68,0.58,HIGH
184.4,27.34,19.97,146.09,9.82,97.49,HIGH
138.1,66.25,8.09,110.07,2858.2,2.03,HIGH
16.83,4.51,0.8,833.94,133.92,17.89,LOW
41.69,5.25,4.65,668.42,141.53,36.64,MEDIUM
53.95,9.02,4.06,647.08,140.97,32.2,MEDIUM
11.62,1.23,0.56,852.55,333.83,27.45,LOW
25.43,1.5,0.66,987.79,153.72,7.89,LOW
73.01,14.9,2.92,686.31,110.96,52.2,MEDIUM
76.71,10.08,4.46,584.85,79.86,47.61,MEDIUM
56.3,9.57,4.17,622.99,115.48,34.63,MEDIUM
163.64,60.19,17.03,127.59,1104.98,2.07,HIGH
15.36,3.15,0.19,939.27,297.75,11.1,LOW
54.9,13.32,3.08,716.2,318.4,48.88,MEDIUM
191.65,58.97,12.24,22.69,2471.35,2.5,HIGH
159.05,40.22,14.08,344.89,6.07,93.93,HIGH
38.19,16.07,3.02,604.6,628.97,53.21,MEDIUM
24.56,14.12,3.72,522.28,590.95,49.57,MEDIUM
104.88,26.38,14.93,233.92,3.82,75.02,HIGH
136.1,54.45,17.1,144.62,2873.34,4.57,HIGH
50.41,14.52,2.1,611.16,94.34,58.52,MEDIUM
22.68,2.18,0.73,993.09,208.03,25.2,LOW
40.02,13.93,1.24,413.95,472.81,34.67,MEDIUM
39.59,9.78,2.62,520.79,520.77,41.3,MEDIUM
182.01,72.68,21.26,127.96,1363.93,4.83,HIGH
5.66,0.99,0.65,908.99,188.18,19.73,LOW
8.94,4.8,0.08,837.16,338.01,21.88,LOW
22.04,2.68,0.27,928.19,144.62,15.87,LOW
29.26,0.89,0.96,853.09,143.36,15.86,LOW
25.79,9.56,1.75,461.07,564.42,25.77,MEDIUM
250.87,24.74,18.24,164.47,2090.95,1.61,HIGH
27.3,0.43,0.42,805.96,187.46,17.63,LOW
26.91,1.57,0.66,879.13,465.82,16.47,LOW
27.82,4.35,0.3,927.79,343.59,8.82,LOW
20.89,1.82,0.37,841.9,206.79,28.42,LOW
78.46,8.39,4.08,694.95,135.18,55.57,MEDIUM
7.74,3.14,0.79,884.43,125.41,14.54,LOW
48.74,6.46,3.59,669.78,129.25,35.1,MEDIUM
152.75,33.04,9.92,264.57,2.46,98.73,HIGH
111.29,23.24,16.31,383.91,3.72,90.96,HIGH
73.54,11.2,2.72,773.85,64.31,43.83,MEDIUM
11.63,3.92,0.46,884.6,482.93,29.89,LOW
182.28,76.45,23.21,169.19,1501.21,3.18,HIGH
25.48,4.82,0.11,805.14,224.78,21.93,LOW
11.63,4.67,0.88,975.85,247.81,8.94,LOW
34.57,14.62,4.51,672.56,145.08,59.99,MEDIUM
50.76,16.65,1.65,558.04,391.4,35.17,MEDIUM
21.73,17.4,3.6,582.51,483.22,53.92,MEDIUM
79.61,14.13,3.38,535.24,133.21,44.95,MEDIUM
27.57,3.08,0.3,909.59,100.16,12.17,LOW
11.31,0.41,0.02,907.88,499.96,13.75,LOW
41.22,13.44,2.82,434.71,580.71,50.58,MEDIUM
251.01,33.36,8.06,4.55,1596.73,3.37,HIGH
126.79,40.21,21.03,26.21,1753.44,0.81,HIGH
147.4,26.17,12.0,143.62,3.23,72.81,HIGH
61.83,11.21,4.03,716.28,115.92,55.15,MEDIUM
114.43,44.04,15.44,98.58,7.35,83.01,HIGH
21.04,2.0,0.98,907.24,475.69,7.88,LOW
5.68,3.21,0.14,892.34,120.11,14.48,LOW
27.6,2.73,0.83,916.5,159.24,8.19,LOW
10.88,0.6,0.89,849.24,337.81,20.48,LOW
27.43,3.72,0.47,851.84,198.9,20.94,LOW
25.05,18.42,2.47,705.45,529.63,39.08,MEDIUM
56.54,17.97,1.77,688.64,492.74,49.19,MEDIUM
33.55,9.38,3.89,449.26,686.6,50.8,MEDIUM
153.78,23.42,11.25,282.53,1.77,98.26,HIGH
204.42,70.11,14.25,189.43,2968.88,2.31,HIGH
28.93,1.68,0.09,819.34,439.0,20.09,LOW
18.55,3.74,0.06,916.84,301.14,26.32,LOW
156.5,27.72,17.02,287.79,9.58,74.14,HIGH
10.56,4.08,0.46,861.04,418.14,10.69,LOW
60.32,9.97,4.71,585.86,129.89,48.21,MEDIUM
10.73,0.16,0.32,853.55,184.39,28.57,LOW
38.97,5.14,3.6,582.29,147.43,46.6,MEDIUM
14.51,0.03,0.35,950.7,441.38,28.84,LOW
171.22,79.35,17.24,98.78,2877.12,4.26,HIGH
258.87,64.11,13.65,8.87,2092.03,4.07,HIGH
15.48,3.74,0.55,920.65,188.22,10.49,LOW
85.46,37.45,13.65,277.9,7.9,82.08,HIGH
54.31,11.96,3.08,500.88,678.08,49.41,MEDIUM
42.94,16.51,2.25,440.31,308.34,34.74,MEDIUM
29.88,3.25,0.44,903.52,148.4,10.62,LOW
86.93,31.18,17.1,303.15,4.56,93.68,HIGH
76.09,10.08,4.64,759.21,77.62,53.7,MEDIUM
67.24,12.05,4.43,615.82,116.37,54.62,MEDIUM
7.55,3.86,0.85,920.08,148.42,29.6,LOW
15.75,2.9,0.65,893.0,276.86,10.34,LOW
22.66,0.32,0.41,908.52,266.31,10.17,LOW
28.95,1.98,0.72,815.2,376.25,20.68,LOW
60.41,5.66,2.83,689.92,104.84,39.76,MEDIUM
61.56,14.21,4.99,724.03,93.4,32.95,MEDIUM
59.27,11.35,3.48,527.37,84.8,40.0,MEDIUM
141.09,32.5,5.68,97.96,4.0,83.74,HIGH
9.4,4.79,0.52,810.04,199.68,26.21,LOW
181.62,41.26,21.12,144.18,2286.62,3.47,HIGH
15.9,0.15,0.34,935.83,261.73,9.13,LOW
47.28,10.88,3.92,627.29,75.01,55.36,MEDIUM
11.37,3.54,0.0,985.12,315.38,22.99,LOW
23.72,10.66,3.08,507.17,532.62,39.2,MEDIUM
11.24,0.51,0.78,976.83,262.55,20.52,LOW
44.16,11.78,3.46,700.14,54.54,41.86,MEDIUM
176.29,65.79,16.47,102.94,1997.52,1.54,HIGH
42.7,9.02,1.16,455.09,547.14,45.22,MEDIUM
23.55,3.35,0.36,813.99,365.7,13.26,LOW
258.45,69.4,9.25,194.48,2284.68,2.25,HIGH
57.72,12.92,4.69,634.92,130.98,49.56,MEDIUM
45.14,7.75,2.17,652.2,81.04,43.56,MEDIUM
23.23,3.37,0.98,819.68,261.05,13.48,LOW
173.86,40.18,22.08,106.47,2417.48,1.5,HIGH
173.54,24.38,9.02,87.92,1968.5,1.02,HIGH
5.62,3.68,0.33,986.16,420.89,26.6,LOW
25.24,0.03,0.81,939.63,236.1,8.89,LOW
273.25,62.71,23.76,127.54,2587.39,2.54,HIGH
11.79,1.6,0.54,827.67,192.5,22.35,LOW
10.29,1.63,0.76,875.83,400.8,25.8,LOW
147.4,24.16,8.9,206.2,9.97,78.28,HIGH
298.04,52.58,12.31,150.66,1382.21,1.78,HIGH
8.86,4.65,0.86,995.24,424.31,27.04,LOW
46.31,14.51,2.24,465.65,444.71,47.69,MEDIUM
25.27,1.33,0.79,821.62,448.87,26.46,LOW
78.9,11.58,2.82,669.78,118.58,52.34,MEDIUM
43.46,14.74,1.99,442.78,441.44,44.96,MEDIUM
44.73,17.98,3.76,430.85,637.79,32.3,MEDIUM
59.2,19.61,3.41,528.02,616.27,25.42,MEDIUM
53.78,6.51,2.19,531.05,139.91,40.3,MEDIUM
133.3,24.97,16.23,207.12,5.81,78.97,HIGH
15.59,1.38,0.0,954.22,354.85,11.55,LOW
16.34,4.77,0.88,852.68,300.23,9.47,LOW
275.84,39.92,10.12,73.6,2778.97,3.72,HIGH
29.74,3.2,0.56,936.92,437.14,24.4,LOW
193.43,32.69,19.5,125.3,4.18,71.47,HIGH
54.63,5.97,4.66,540.7,95.36,50.11,MEDIUM
54.72,16.65,3.91,610.14,440.66,42.34,MEDIUM
18.45,2.42,0.44,946.21,207.36,26.29,LOW
108.12,22.6,17.96,69.76,5.54,78.39,HIGH
13.45,2.94,0.23,844.04,128.4,20.78,LOW
25.77,0.43,0.88,848.77,285.88,20.26,LOW
20.86,1.32,0.49,981.07,438.44,7.31,LOW
68.64,9.94,4.26,727.96,94.89,57.72,MEDIUM
228.92,60.74,24.13,74.4,2526.17,2.87,HIGH
15.48,2.92,0.52,986.94,181.7,22.9,LOW
50.8,5.95,3.28,699.53,87.43,34.58,MEDIUM
66.23,14.77,3.57,584.9,60.05,35.82,MEDIUM
46.09,6.89,4.09,671.54,73.36,53.27,MEDIUM
78.66,11.09,2.72,547.51,105.08,46.57,MEDIUM
54.93,12.0,2.75,449.5,439.93,54.03,MEDIUM
20.82,1.68,0.82,950.23,369.12,10.62,LOW
158.44,39.25,5.93,91.38,3.76,81.76,HIGH
140.31,68.57,15.13,153.21,2767.51,0.08,HIGH
25.19,0.95,0.1,886.21,269.43,16.68,LOW
219.3,56.72,9.47,61.86,2999.19,3.59,HIGH
251.67,39.13,18.16,134.51,1641.33,1.51,HIGH
262.34,54.07,20.87,35.1,2712.29,4.49,HIGH
67.45,10.69,2.87,537.31,118.87,50.99,MEDIUM
50.4,10.44,2.65,724.69,475.25,45.95,MEDIUM
142.53,38.17,17.07,100.51,1337.27,4.71,HIGH
185.87,21.15,18.79,399.01,4.57,84.37,HIGH
26.24,4.11,0.11,992.16,354.23,25.72,LOW
71.58,5.77,4.59,756.59,111.5,45.21,MEDIUM
215.75,69.4,12.21,69.23,1551.3,4.69,HIGH
24.15,2.61,0.63,854.92,130.99,12.14,LOW
171.57,24.55,18.58,101.57,4.94,97.45,HIGH
89.51,23.96,17.52,242.08,7.55,85.31,HIGH
49.83,13.71,3.33,579.63,343.62,40.12,MEDIUM
94.62,38.68,10.7,393.06,8.37,97.68,HIGH
40.18,10.07,1.74,553.22,475.77,40.68,MEDIUM
30.31,13.7,3.7,620.24,64.19,49.0,MEDIUM
15.58,1.06,0.54,945.99,180.46,12.79,LOW
250.95,65.83,14.22,80.12,2140.56,0.97,HIGH
159.44,28.01,10.6,149.55,2211.48,2.08,HIGH
296.59,35.22,8.28,157.7,1689.6,3.66,HIGH
22.49,3.83,0.17,921.45,399.17,7.86,LOW
204.75,52.25,19.29,43.68,1494.93,3.77,HIGH
26.54,1.24,0.19,889.72,268.75,11.96,LOW
42.77,5.09,4.41,770.36,117.76,34.74,MEDIUM
71.19,14.09,2.91,622.49,63.98,58.39,MEDIUM
187.48,21.69,23.82,167.84,2299.92,3.96,HIGH
64.37,14.24,4.36,687.52,116.12,58.01,MEDIUM
154.61,34.79,17.49,44.97,2945.82,1.49,HIGH
16.41,4.01,0.67,997.58,338.18,28.75,LOW
